game_id,game_date,home_team,away_team,home_score,away_score,spread_open,total_open
376089,2023-11-06,IUPUI,Spalding,70,63,,
381930,2023-11-06,Hofstra,St. Joseph's (Brooklyn),101,48,,
376100,2023-11-06,Troy,Fort Lauderdale,92,47,,
376098,2023-11-06,Stephen F. Austin,North American Stallions,96,68,,
376090,2023-11-06,Prairie View A&M,Kansas Christian,89,66,,
376112,2023-11-06,Oregon,Georgia,82,71,,
376092,2023-11-06,Oregon State,Linfield,82,46,,
376137,2023-11-06,Penn,John Jay,102,57,,
376138,2023-11-06,UMass Lowell,Rivier,96,51,,
356551,2023-11-06,Tennessee,Tennessee Tech,80,42,,
376139,2023-11-06,UConn,Northern Arizona,95,52,,
376141,2023-11-06,Purdue,Samford,98,45,,
356547,2023-11-07,Syracuse,New Hampshire,83,72,,
356548,2023-11-07,Virginia,Tarleton,80,50,,
356553,2023-11-07,Richmond,VMI,93,75,,
356560,2023-11-07,St. Bonaventure,Longwood,73,69,,
356561,2023-11-07,West Virginia,Missouri State,67,59,,
376091,2023-11-07,Toledo,Detroit,94,60,,
376093,2023-11-07,Rhode Island,Central Connecticut State,81,70,,
376094,2023-11-07,Saint Josephs,Lafayette,81,60,,
376095,2023-11-07,South Carolina,USC Upstate,82,53,,
376113,2023-11-07,North Carolina,Radford,86,70,,
376114,2023-11-07,Howard,Hampton,92,80,,
376116,2023-11-07,Bowling Green,Chicago State,70,41,,
376117,2023-11-07,Charleston,Iona,71,69,,
376118,2023-11-07,Dayton,Siu Edwardsville,63,47,,
376119,2023-11-07,Duquesne,Cleveland State,79,77,,
376122,2023-11-07,Furman,North Greenville,84,68,,
376125,2023-11-07,NC Wilmington,Mount Olive Trojans,105,66,,
376127,2023-11-07,Indiana State,SMWC Pomeroys,90,60,,
376130,2023-11-07,Marshall,Queens Royals,89,73,,
376131,2023-11-07,Mercer,Clarke,64,71,,
376142,2023-11-07,Penn State,Delaware State,79,45,,
376143,2023-11-07,Pittsburgh,N. Carolina A&T,100,52,,
