game_id,date,home_team,away_team,home_h1,away_h1,h1_total,home_fg,away_fg,fg_total,home_canonical,away_canonical
401168156,2019-11-05,Miami Hurricanes,Louisville Cardinals,26,45,71,74,87,161,Miami FL,Louisville
401169796,2019-11-06,Florida Gators,North Florida Ospreys,39,22,61,74,59,133,Florida,North Florida
401166020,2019-11-06,Maryland Terrapins,Holy Cross Crusaders,51,39,90,95,71,166,Maryland,Holy Cross
401175199,2019-11-06,Gonzaga Bulldogs,Alabama State Hornets,42,30,72,95,64,159,Gonzaga,Alabama St.
401169778,2019-11-06,Villanova Wildcats,Army Black Knights,49,26,75,97,54,151,Villanova,Army
401168441,2019-11-05,Seton Hall Pirates,Wagner Seahawks,52,37,89,105,71,176,Seton Hall,Wagner
401169597,2019-11-06,Texas Tech Red Raiders,Eastern Illinois Panthers,46,31,77,85,60,145,Texas Tech,Eastern Illinois
401170001,2019-11-06,Memphis Tigers,South Carolina State Bulldogs,50,32,82,97,64,161,Memphis,South Carolina St.
401170555,2019-11-06,Oregon Ducks,Fresno State Bulldogs,38,27,65,71,57,128,Oregon,Fresno St.
401169593,2019-11-05,Baylor Bears,Central Arkansas Bears,53,32,85,105,61,166,Baylor,Central Arkansas
401166408,2019-11-06,Utah State Aggies,Montana State Bobcats,37,34,71,81,73,154,Utah St.,Montana St.
401169787,2019-11-06,Xavier Musketeers,Jacksonville Dolphins,43,22,65,76,57,133,Xavier,Jacksonville
401175202,2019-11-06,Wisconsin Badgers,Saint Mary's Gaels,24,30,54,63,65,128,Wisconsin,Saint Mary's
401169797,2019-11-06,Auburn Tigers,Georgia Southern Eagles,41,37,78,83,74,157,Auburn,Georgia Southern
401170102,2019-11-06,VCU Rams,Saint Francis Red Flash,36,22,58,72,58,130,VCU,St. Francis PA
401168159,2019-11-07,North Carolina Tar Heels,Notre Dame Fighting Irish,30,31,61,76,65,141,North Carolina,Notre Dame
401168161,2019-11-07,Syracuse Orange,Virginia Cavaliers,19,25,44,34,48,82,Syracuse,Virginia
401166022,2019-11-07,Ohio State Buckeyes,Cincinnati Bearcats,19,26,45,64,56,120,Ohio St.,Cincinnati
401166414,2019-11-07,Arizona Wildcats,Northern Arizona Lumberjacks,44,22,66,91,52,143,Arizona,Northern Arizona
401166023,2019-11-07,Purdue Boilermakers,Green Bay Phoenix,35,22,57,79,57,136,Purdue,Green Bay
