========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    Georgia Bulldogs @ Oregon Ducks (draftkings): spread=-7.0, total=141.0, h1_spread=-3.5, h1_total=65.5
    Georgia Bulldogs @ Oregon Ducks (bovada): spread=-6.0, total=141.5, h1_spread=-3.5, h1_total=66.0
    Georgia Bulldogs @ Oregon Ducks (unibet_us): spread=-6.0, total=141.0, h1_spread=-3.5, h1_total=None
    Georgia Bulldogs @ Oregon Ducks (twinspires): spread=-6.0, total=141.0, h1_spread=None, h1_total=None
    Georgia Bulldogs @ Oregon Ducks (betrivers): spread=-6.0, total=141.0, h1_spread=-3.5, h1_total=None
    Georgia Bulldogs @ Oregon Ducks (pointsbetus): spread=-6.0, total=141.5, h1_spread=None, h1_total=None
    Georgia Bulldogs @ Oregon Ducks (lowvig): spread=-6.5, total=141.5, h1_spread=None, h1_total=None
    Georgia Bulldogs @ Oregon Ducks (williamhill_us): spread=-6.5, total=141.5, h1_spread=-3.0, h1_total=65.5
    Georgia Bulldogs @ Oregon Ducks (betonlineag): spread=-6.5, total=141.5, h1_spread=-3.5, h1_total=66.0
    Georgia Bulldogs @ Oregon Ducks (barstool): spread=-6.5, total=141.5, h1_spread=-3.5, h1_total=None
    Georgia Bulldogs @ Oregon Ducks (betus): spread=-6.5, total=141.0, h1_spread=-3.5, h1_total=66.0
    Georgia Bulldogs @ Oregon Ducks (superbook): spread=-6.5, total=None, h1_spread=None, h1_total=None
    USC Trojans @ Kansas St Wildcats (draftkings): spread=3.0, total=146.0, h1_spread=1.5, h1_total=67.5
    USC Trojans @ Kansas St Wildcats (bovada): spread=3.0, total=146.0, h1_spread=None, h1_total=None
    USC Trojans @ Kansas St Wildcats (unibet_us): spread=3.0, total=146.5, h1_spread=1.5, h1_total=None
    USC Trojans @ Kansas St Wildcats (twinspires): spread=3.0, total=146.5, h1_spread=None, h1_total=None
    USC Trojans @ Kansas St Wildcats (betrivers): spread=3.0, total=146.5, h1_spread=1.5, h1_total=None
    USC Trojans @ Kansas St Wildcats (lowvig): spread=3.0, total=146.0, h1_spread=None, h1_total=None
    USC Trojans @ Kansas St Wildcats (williamhill_us): spread=3.0, total=146.5, h1_spread=1.5, h1_total=68.5
    USC Trojans @ Kansas St Wildcats (betonlineag): spread=3.0, total=146.0, h1_spread=1.5, h1_total=68.5
    USC Trojans @ Kansas St Wildcats (barstool): spread=3.5, total=146.5, h1_spread=1.5, h1_total=None
    USC Trojans @ Kansas St Wildcats (betus): spread=3.0, total=146.5, h1_spread=1.5, h1_total=68.5
    USC Trojans @ Kansas St Wildcats (superbook): spread=3.0, total=146.5, h1_spread=None, h1_total=None

