========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2025 (2024-11-01 to 2025-04-30)
 March Madness window: 2025-03-15 to 2025-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o5
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2024-11-01...
  [API] Requests remaining: 23357592
  Found 7 events
    Charleston Cougars @ Southern Illinois Salukis (fanduel): spread=3.5, total=147.5, h1_spread=1.5, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (draftkings): spread=4.5, total=146.5, h1_spread=1.5, h1_total=69.0
    Charleston Cougars @ Southern Illinois Salukis (lowvig): spread=4.0, total=146.0, h1_spread=None, h1_total=None
    Charleston Cougars @ Southern Illinois Salukis (betonlineag): spread=4.0, total=146.0, h1_spread=2.0, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (betmgm): spread=4.5, total=146.5, h1_spread=None, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (betrivers): spread=4.0, total=148.0, h1_spread=None, h1_total=None
    Charleston Cougars @ Southern Illinois Salukis (bovada): spread=5.0, total=146.0, h1_spread=2.5, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (betus): spread=4.5, total=146.0, h1_spread=2.5, h1_total=69.5
    Wright St Raiders @ Kentucky Wildcats (fanduel): spread=-20.5, total=160.5, h1_spread=-12.5, h1_total=77.5
    Wright St Raiders @ Kentucky Wildcats (betrivers): spread=-21.0, total=160.5, h1_spread=None, h1_total=None
    Wright St Raiders @ Kentucky Wildcats (draftkings): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.0
    Wright St Raiders @ Kentucky Wildcats (betonlineag): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.0
    Wright St Raiders @ Kentucky Wildcats (lowvig): spread=-21.5, total=161.0, h1_spread=None, h1_total=None
    Wright St Raiders @ Kentucky Wildcats (betmgm): spread=-21.5, total=161.5, h1_spread=None, h1_total=77.5
    Wright St Raiders @ Kentucky Wildcats (bovada): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.0
    Wright St Raiders @ Kentucky Wildcats (betus): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.5
    Texas A&M Aggies @ UCF Knights (fanduel): spread=6.5, total=143.5, h1_spread=2.5, h1_total=67.5
    Texas A&M Aggies @ UCF Knights (betrivers): spread=5.5, total=144.0, h1_spread=None, h1_total=None
    Texas A&M Aggies @ UCF Knights (draftkings): spread=6.5, total=144.0, h1_spread=3.0, h1_total=68.5
    Texas A&M Aggies @ UCF Knights (lowvig): spread=6.0, total=144.0, h1_spread=None, h1_total=None
    Texas A&M Aggies @ UCF Knights (betonlineag): spread=6.0, total=144.0, h1_spread=3.0, h1_total=68.0
    Texas A&M Aggies @ UCF Knights (betmgm): spread=6.5, total=143.5, h1_spread=None, h1_total=68.5
    Texas A&M Aggies @ UCF Knights (bovada): spread=6.0, total=144.5, h1_spread=3.0, h1_total=68.5
    Texas A&M Aggies @ UCF Knights (betus): spread=6.0, total=144.5, h1_spread=3.0, h1_total=68.0
    Missouri Tigers @ Memphis Tigers (fanduel): spread=-3.5, total=154.5, h1_spread=-1.5, h1_total=72.5
    Missouri Tigers @ Memphis Tigers (betrivers): spread=-3.0, total=155.0, h1_spread=-1.5, h1_total=None
