endpoint,dataset,season,rows,min_date,max_date,h1_rows,missing_spread,missing_total,has_prices,source_file
barttorvik/team_results,ratings_barttorvik,2019,353,,,,,,,barttorvik_2019.json
barttorvik/team_results,ratings_barttorvik,2020,353,,,,,,,barttorvik_2020.json
barttorvik/team_results,ratings_barttorvik,2021,347,,,,,,,barttorvik_2021.json
barttorvik/team_results,ratings_barttorvik,2022,358,,,,,,,barttorvik_2022.json
barttorvik/team_results,ratings_barttorvik,2023,363,,,,,,,barttorvik_2023.json
barttorvik/team_results,ratings_barttorvik,2024,362,,,,,,,barttorvik_2024.json
barttorvik/team_results,ratings_barttorvik,2025,364,,,,,,,barttorvik_2025.json
barttorvik/team_results,ratings_barttorvik,2026,365,,,,,,,barttorvik_2026.json
espn/scoreboard,scores_fg,2019,1151,2018-11-07,2019-04-09,0,0,0,False,games_2019.csv
espn/scoreboard,scores_fg,2019,1151,2018-11-07,2019-04-09,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2020,837,2019-11-05,2020-03-12,0,0,0,False,games_2020.csv
espn/scoreboard,scores_fg,2020,837,2019-11-05,2020-03-12,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2021,879,2020-11-25,2021-04-06,0,0,0,False,games_2021.csv
espn/scoreboard,scores_fg,2021,879,2020-11-25,2021-04-06,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2022,1104,2021-11-09,2022-04-05,0,0,0,False,games_2022.csv
espn/scoreboard,scores_fg,2022,1104,2021-11-09,2022-04-05,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2023,1172,2022-11-07,2023-04-04,0,0,0,False,games_2023.csv
espn/scoreboard,scores_fg,2023,1172,2022-11-07,2023-04-04,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2024,921,2023-11-06,2024-04-09,0,0,0,False,games_2024.csv
espn/scoreboard,scores_fg,2024,921,2023-11-06,2024-04-09,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2025,961,2024-11-04,2025-04-08,0,0,0,False,games_2025.csv
espn/scoreboard,scores_fg,2025,961,2024-11-04,2025-04-08,0,0,0,False,games_all.csv
espn/scoreboard,scores_fg,2026,440,2025-11-03,2026-01-05,0,0,0,False,games_2026.csv
espn/scoreboard,scores_fg,2026,440,2025-11-03,2026-01-05,0,0,0,False,games_all.csv
espn/summary,scores_h1,2019,1148,2018-11-07,2019-04-09,1148,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2020,857,2019-11-05,2020-03-12,857,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2021,877,2020-11-25,2021-04-06,877,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2022,1101,2021-11-09,2022-04-05,1101,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2023,1172,2022-11-07,2023-04-04,1172,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2024,919,2023-11-06,2024-04-09,919,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2025,955,2024-11-04,2025-04-08,955,0,0,False,h1_games_all.csv
espn/summary,scores_h1,2026,438,2025-11-03,2026-01-05,438,0,0,False,h1_games_all.csv
odds_api/historical/events+odds,odds_normalized/odds_canonical_matchups.csv,2021,3262,2020-11-25,2021-04-06,0,42,49,False,
odds_api/historical/events+odds,odds_normalized/odds_canonical_matchups.csv,2022,2,2021-11-09,2021-11-10,0,0,0,False,
odds_api/historical/events+odds,odds_normalized/odds_canonical_matchups.csv,2024,5683,2023-11-06,2024-04-09,5398,4,5,False,
