game_id,date,home_team,home_abbr,away_team,away_abbr,home_score,away_score,total,spread_result,venue,neutral
401083627,2018-11-07,Gonzaga Bulldogs,GONZ,Idaho State Bengals,IDST,120,79,199,41,McCarthey Athletic Center,False
401082974,2018-11-07,Tennessee Volunteers,TENN,Lenoir-Rhyne Bears,LENRHYNE,86,41,127,45,Food City Center,False
401083597,2018-11-07,Nevada Wolf Pack,NEV,BYU Cougars,BYU,86,70,156,16,Lawlor Events Center,False
401082853,2018-11-07,Wofford Terriers,WOF,North Carolina Tar Heels,UNC,67,78,145,-11,Jerry Richardson Indoor Stadium,False
401083350,2018-11-07,Villanova Wildcats,VILL,Morgan State Bears,MORG,100,77,177,23,Finneran Pavilion,False
401083163,2018-11-07,Auburn Tigers,AUB,South Alabama Jaguars,USA,101,58,159,43,Neville Arena,False
401086810,2018-11-07,Oregon Ducks,ORE,Portland State Vikings,PRST,84,57,141,27,Matthew Knight Arena,False
401082695,2018-11-07,Florida State Seminoles,FSU,Florida Gators,FLA,81,60,141,21,Tucker Center,False
401087147,2018-11-07,UCLA Bruins,UCLA,Purdue Fort Wayne Mastodons,PFW,96,71,167,25,Pauley Pavilion,False
401082642,2018-11-07,Clemson Tigers,CLEM,The Citadel Bulldogs,CIT,100,80,180,20,Littlejohn Coliseum,False
401083104,2018-11-07,LSU Tigers,LSU,SE Louisiana Lions,SELA,94,63,157,31,Pete Maravich Assembly Center,False
401082580,2018-11-07,Purdue Boilermakers,PUR,Fairfield Stags,FAIR,90,57,147,33,Mackey Arena,False
401083509,2018-11-08,TCU Horned Frogs,TCU,Cal State Bakersfield Roadrunners,CSUB,66,61,127,5,Schollmaier Arena,False
401093604,2018-11-09,Cornell Big Red,COR,SUNY-Canton Roos,NYCA,86,44,130,42,Newman Arena,False
401090373,2018-11-09,Norfolk State Spartans,NORF,Mid-Atlantic Christian Mustangs,MATC,108,50,158,58,Joseph G. Echols Hall,False
401089034,2018-11-09,Purdue Fort Wayne Mastodons,PFW,Earlham College Quakers,EARL,112,51,163,61,Hilliard Gates Sports Center,False
401088865,2018-11-09,East Tennessee State Buccaneers,ETSU,Hiwassee Tigers,HIWAS,109,44,153,65,Freedom Hall (TN),False
401088143,2018-11-09,UNC Asheville Bulldogs,UNCA,St. Andrews Knights,ST. A,87,47,134,40,Kimmel Arena,False
401086704,2018-11-09,Liberty Flames,LIB,Maine-Fort Kent Bengals,UMFK,89,40,129,49,Vines Convocation Center,False
401086653,2018-11-09,Florida Gulf Coast Eagles,FGCU,Southeastern Fires,SE,81,54,135,27,Alico Arena,False
401086049,2018-11-09,George Washington Revolutionaries,GW,Siena Saints,SIE,61,69,130,-8,Charles E. Smith Center,False
401084613,2018-11-09,UConn Huskies,CONN,Morehead State Eagles,MORE,80,70,150,10,Gampel Pavilion,False
401082908,2018-11-09,Louisville Cardinals,LOU,Nicholls Colonels,NICH,85,72,157,13,KFC Yum! Center,False
401082821,2018-11-09,Notre Dame Fighting Irish,ND,Chicago State Cougars,CHST,89,62,151,27,Purcell Pavilion,False
401089137,2018-11-09,Stephen F. Austin Lumberjacks,SFA,Southwestern Assemblies of God Lions,SWA,68,67,135,1,William R. Johnson Coliseum,False
401087829,2018-11-09,Little Rock Trojans,LR,Southeastern Oklahoma State Savage Storm,SEOS,101,92,193,9,Jack Stephens Center,False
401089640,2018-11-09,Central Arkansas Bears,CARK,Hendrix College Warriors,HDX,99,73,172,26,Farris Center,False
401089207,2018-11-09,Sam Houston Bearkats,SHSU,Southwestern (TX) Pirates,SW,94,56,150,38,Bernard G. Johnson Coliseum,False
401089165,2018-11-09,Drake Bulldogs,DRKE,Buena Vista Beavers,BVU,98,52,150,46,Knapp Center,False
401088908,2018-11-09,South Dakota State Jackrabbits,SDST,Alabama State Hornets,ALST,78,61,139,17,Frost Arena,False
401084646,2018-11-09,SMU Mustangs,SMU,Northwestern State Demons,NWST,69,58,127,11,Moody Coliseum (Dallas),False
401082530,2018-11-09,Northwestern Wildcats,NU,New Orleans Privateers,UNO,82,52,134,30,Welsh-Ryan Arena,False
401082391,2018-11-09,Iowa Hawkeyes,IOWA,Kansas City Roos,KC,77,63,140,14,Carver-Hawkeye Arena,False
401082333,2018-11-09,Illinois Fighting Illini,ILL,Evansville Purple Aces,EVAN,99,60,159,39,State Farm Center,False
401086604,2018-11-09,Utah Utes,UTAH,Maine Black Bears,ME,75,61,136,14,Jon M. Huntsman Center,False
401086072,2018-11-09,Seattle U Redhawks,SEA,Puget Sound Loggers,PUG,95,67,162,28,Redhawk Center,False
401083123,2018-11-10,Kentucky Wildcats,UK,Southern Illinois Salukis,SIU,71,59,130,12,Rupp Arena,False
401083652,2018-11-10,Nevada Wolf Pack,NEV,Pacific Tigers,PAC,83,61,144,22,Lawlor Events Center,False
