game_id,date,home_team,away_team,actual_h1,predicted_h1,error,abs_error,actual_fg,h1_fg_ratio
401168156,2019-11-05,Miami Hurricanes,Louisville Cardinals,71,67.1,-3.9000000000000057,3.9000000000000057,161,0.4409937888198758
401169796,2019-11-06,Florida Gators,North Florida Ospreys,61,66.0,5.0,5.0,133,0.45864661654135336
401166020,2019-11-06,Maryland Terrapins,Holy Cross Crusaders,90,67.5,-22.5,22.5,166,0.5421686746987951
401175199,2019-11-06,Gonzaga Bulldogs,Alabama State Hornets,72,75.9,3.9000000000000057,3.9000000000000057,159,0.4528301886792453
401169778,2019-11-06,Villanova Wildcats,Army Black Knights,75,66.1,-8.900000000000006,8.900000000000006,151,0.4966887417218543
401168441,2019-11-05,Seton Hall Pirates,Wagner Seahawks,89,67.6,-21.400000000000006,21.400000000000006,176,0.5056818181818182
401169597,2019-11-06,Texas Tech Red Raiders,Eastern Illinois Panthers,77,63.7,-13.299999999999997,13.299999999999997,145,0.5310344827586206
401170001,2019-11-06,Memphis Tigers,South Carolina State Bulldogs,82,62.9,-19.1,19.1,161,0.5093167701863354
401169593,2019-11-05,Baylor Bears,Central Arkansas Bears,85,63.8,-21.200000000000003,21.200000000000003,166,0.5120481927710844
401166408,2019-11-06,Utah State Aggies,Montana State Bobcats,71,65.0,-6.0,6.0,154,0.461038961038961
401169787,2019-11-06,Xavier Musketeers,Jacksonville Dolphins,65,60.5,-4.5,4.5,133,0.48872180451127817
401175202,2019-11-06,Wisconsin Badgers,Saint Mary's Gaels,54,63.8,9.799999999999997,9.799999999999997,128,0.421875
401169797,2019-11-06,Auburn Tigers,Georgia Southern Eagles,78,69.1,-8.900000000000006,8.900000000000006,157,0.4968152866242038
401170102,2019-11-06,VCU Rams,Saint Francis Red Flash,58,67.4,9.400000000000006,9.400000000000006,130,0.4461538461538462
401168159,2019-11-07,North Carolina Tar Heels,Notre Dame Fighting Irish,61,68.7,7.700000000000003,7.700000000000003,141,0.4326241134751773
401168161,2019-11-07,Syracuse Orange,Virginia Cavaliers,44,58.4,14.399999999999999,14.399999999999999,82,0.5365853658536586
