game_id,date,home_team,away_team,home_h1,away_h1,h1_total,home_fg,away_fg,fg_total
401168156,2019-11-05,Miami Hurricanes,Louisville Cardinals,26,45,71,74,87,161
401169796,2019-11-06,Florida Gators,North Florida Ospreys,39,22,61,74,59,133
401166020,2019-11-06,Maryland Terrapins,Holy Cross Crusaders,51,39,90,95,71,166
401175199,2019-11-06,Gonzaga Bulldogs,Alabama State Hornets,42,30,72,95,64,159
401169778,2019-11-06,Villanova Wildcats,Army Black Knights,49,26,75,97,54,151
401168441,2019-11-05,Seton Hall Pirates,Wagner Seahawks,52,37,89,105,71,176
401169597,2019-11-06,Texas Tech Red Raiders,Eastern Illinois Panthers,46,31,77,85,60,145
401170001,2019-11-06,Memphis Tigers,South Carolina State Bulldogs,50,32,82,97,64,161
401170555,2019-11-06,Oregon Ducks,Fresno State Bulldogs,38,27,65,71,57,128
401169593,2019-11-05,Baylor Bears,Central Arkansas Bears,53,32,85,105,61,166
401166408,2019-11-06,Utah State Aggies,Montana State Bobcats,37,34,71,81,73,154
401169787,2019-11-06,Xavier Musketeers,Jacksonville Dolphins,43,22,65,76,57,133
401175202,2019-11-06,Wisconsin Badgers,Saint Mary's Gaels,24,30,54,63,65,128
401169797,2019-11-06,Auburn Tigers,Georgia Southern Eagles,41,37,78,83,74,157
401170102,2019-11-06,VCU Rams,Saint Francis Red Flash,36,22,58,72,58,130
401168159,2019-11-07,North Carolina Tar Heels,Notre Dame Fighting Irish,30,31,61,76,65,141
401168161,2019-11-07,Syracuse Orange,Virginia Cavaliers,19,25,44,34,48,82
401166022,2019-11-07,Ohio State Buckeyes,Cincinnati Bearcats,19,26,45,64,56,120
401166414,2019-11-07,Arizona Wildcats,Northern Arizona Lumberjacks,44,22,66,91,52,143
401166023,2019-11-07,Purdue Boilermakers,Green Bay Phoenix,35,22,57,79,57,136
401177913,2019-11-07,Omaha Mavericks,Midland University Midland,30,21,51,72,53,125
401175030,2019-11-07,Morehead State Eagles,Spalding Pelicans,41,22,63,92,44,136
401176777,2019-11-08,Purdue Fort Wayne Mastodons,Manchester Spartans,50,32,82,91,80,171
401175914,2019-11-08,Marshall Thundering Herd,Robert Morris Colonials,33,27,60,67,60,127
401174698,2019-11-08,App State Mountaineers,Ferrum Panthers,47,24,71,83,56,139
401171546,2019-11-08,Hartford Hawks,Winthrop Eagles,28,34,62,57,67,124
401171520,2019-11-08,Clemson Tigers,Presbyterian Blue Hose,43,21,64,79,45,124
401170342,2019-11-08,North Florida Ospreys,Florida National Conquistadors,38,35,73,89,81,170
401166024,2019-11-08,Rutgers Scarlet Knights,Bryant Bulldogs,38,30,68,73,71,144
401176061,2019-11-08,Samford Bulldogs,Kentucky Wesleyan Panthers,33,21,54,68,42,110
401177959,2019-11-08,South Dakota State Jackrabbits,Peru State Bobcats,42,28,70,86,58,144
401177442,2019-11-08,North Dakota State Bison,Mayville St Comets,44,32,76,93,53,146
401176813,2019-11-08,North Dakota Fighting Hawks,Crown College Polars,48,31,79,86,61,147
401176395,2019-11-08,Central Arkansas Bears,Hendrix College Warriors,25,11,36,71,51,122
401174699,2019-11-08,Troy Trojans,UAB Blazers,30,26,56,75,76,151
401170343,2019-11-08,Drake Bulldogs,Kennesaw State Owls,39,19,58,86,55,141
401169599,2019-11-08,TCU Horned Frogs,Southwestern (TX) Pirates,43,38,81,83,62,145
401170559,2019-11-08,Washington State Cougars,Seattle U Redhawks,43,21,64,85,54,139
401166415,2019-11-08,Air Force Falcons,Idaho State Bengals,31,42,73,79,89,168
401171629,2019-11-08,UC Davis Aggies,Jessup University Warriors,51,32,83,109,63,172
401169808,2019-11-09,Kentucky Wildcats,Eastern Kentucky Colonels,46,25,71,91,49,140
401169601,2019-11-09,Kansas Jayhawks,UNC Greensboro Spartans,36,32,68,74,62,136
401168162,2019-11-09,Duke Blue Devils,Colorado State Rams,42,26,68,89,55,144
401168164,2019-11-09,UNC Wilmington Seahawks,North Carolina Tar Heels,29,40,69,62,78,140
401166417,2019-11-09,Utah State Aggies,Weber State Wildcats,48,13,61,89,34,123
401169788,2019-11-09,Xavier Musketeers,Siena Saints,42,33,75,81,63,144
401169810,2019-11-09,LSU Tigers,Bowling Green Falcons,46,36,82,88,79,167
401170106,2019-11-09,VCU Rams,North Texas Mean Green,31,21,52,59,56,115
401166028,2019-11-10,Maryland Terrapins,Rhode Island Rams,35,32,67,73,55,128
401175206,2019-11-10,Gonzaga Bulldogs,Arkansas-Pine Bluff Golden Lions,56,30,86,110,60,170
401168442,2019-11-09,Seton Hall Pirates,Stony Brook Seawolves,31,33,64,74,57,131
401169606,2019-11-10,Texas Tech Red Raiders,Bethune-Cookman Wildcats,40,19,59,79,44,123
401170563,2019-11-10,Oregon Ducks,Boise State Broncos,48,30,78,106,75,181
401166030,2019-11-10,Purdue Boilermakers,Texas Longhorns,34,31,65,66,70,136
401166054,2019-11-11,Michigan State Spartans,Binghamton Bearcats,54,23,77,100,47,147
401168168,2019-11-10,Florida Gators,Florida State Seminoles,21,25,46,51,63,114
401168171,2019-11-10,Virginia Cavaliers,James Madison Dukes,31,23,54,65,34,99
401166055,2019-11-10,Ohio State Buckeyes,UMass Lowell River Hawks,38,25,63,76,56,132
401169934,2019-11-11,Arizona Wildcats,Illinois Fighting Illini,39,38,77,90,69,159
401171548,2019-11-12,Saint Mary's Gaels,Winthrop Eagles,25,26,51,59,61,120
401169817,2019-11-13,Kentucky Wildcats,Evansville Purple Aces,30,34,64,64,67,131
401175210,2019-11-13,Gonzaga Bulldogs,North Dakota Fighting Hawks,55,36,91,97,66,163
401173654,2019-11-13,Utah State Aggies,Denver Pioneers,53,27,80,97,56,153
401170570,2019-11-13,Washington Huskies,Mount St. Mary's Mountaineers,21,21,42,56,46,102
401169789,2019-11-13,Xavier Musketeers,Missouri Tigers,28,21,49,63,58,121
401169820,2019-11-13,South Alabama Jaguars,Auburn Tigers,30,38,68,69,70,139
401168179,2019-11-14,Louisville Cardinals,Indiana State Sycamores,47,26,73,91,62,153
401169613,2019-11-14,Texas Tech Red Raiders,Houston Christian Huskies,54,39,93,103,74,177
401169823,2019-11-13,VCU Rams,LSU Tigers,50,38,88,84,82,166
401169825,2019-11-15,Florida Gators,Towson Tigers,30,30,60,66,60,126
401171610,2019-11-15,Saint Mary's Gaels,Long Beach State Beach,41,31,72,81,63,144
401170571,2019-11-15,Arizona Wildcats,San José State Spartans,39,17,56,87,39,126
401169615,2019-11-16,Kansas Jayhawks,Monmouth Hawks,59,21,80,112,57,169
401168185,2019-11-16,North Carolina Tar Heels,Gardner-Webb Runnin' Bulldogs,30,27,57,77,61,138
401169828,2019-11-16,Texas A&M Aggies,Gonzaga Bulldogs,19,40,59,49,79,128
401173658,2019-11-16,Utah State Aggies,North Carolina A&T Aggies,38,23,61,81,54,135
401169790,2019-11-16,Xavier Musketeers,Missouri State Bears,32,30,62,59,56,115
401169614,2019-11-16,Baylor Bears,Texas State Bobcats,30,30,60,72,63,135
401166072,2019-11-16,Maryland Terrapins,Oakland Golden Grizzlies,35,22,57,80,50,130
401169834,2019-11-16,LSU Tigers,Nicholls Colonels,38,39,77,75,65,140
401170576,2019-11-17,Colorado Buffaloes,San Diego Toreros,30,27,57,71,53,124
401168443,2019-11-17,Saint Louis Billikens,Seton Hall Pirates,31,46,77,66,83,149
401170582,2019-11-18,Oregon Ducks,UT Arlington Mavericks,37,28,65,67,47,114
401169447,2019-11-17,UConn Huskies,Florida Gators,25,20,45,62,59,121
401171562,2019-11-18,Saint Mary's Gaels,Cal Poly Mustangs,46,21,67,79,48,127
401170580,2019-11-17,Arizona Wildcats,New Mexico State Aggies,43,21,64,83,53,136
401173661,2019-11-19,Utah State Aggies,UTSA Roadrunners,41,29,70,82,50,132
401170584,2019-11-19,Colorado Buffaloes,UC Irvine Anteaters,40,30,70,69,53,122
401166079,2019-11-20,Maryland Terrapins,Fairfield Stags,41,27,68,74,55,129
401170587,2019-11-20,Washington Huskies,Maine Black Bears,36,18,54,72,53,125
401172743,2019-11-20,Miami (OH) RedHawks,Central State (OH) Marauders,36,20,56,80,45,125
401168198,2019-11-20,Florida State Seminoles,Chattanooga Mocs,41,29,70,89,53,142
401176081,2019-11-21,VMI Keydets,Christendom Crusaders,54,13,67,96,20,116
401175125,2019-11-21,Wright State Raiders,Urbana Blue Knights,38,19,57,88,51,139
401172587,2019-11-21,Ball State Cardinals,Northern Kentucky Norse,22,21,43,57,59,116
401172375,2019-11-21,Old Dominion Monarchs,James Madison Dukes,32,37,69,78,80,158
401172089,2019-11-21,Saint Peter's Peacocks,Wagner Seahawks,25,35,60,77,81,158
401172082,2019-11-21,Yale Bulldogs,Siena Saints,32,32,64,100,89,189
401171776,2019-11-21,Drexel Dragons,Bryant Bulldogs,40,30,70,86,74,160
401170370,2019-11-21,NJIT Highlanders,Binghamton Bearcats,43,35,78,75,77,152
401170136,2019-11-21,Massachusetts Minutemen,Rider Broncs,45,34,79,82,72,154
401169845,2019-11-21,Tennessee Volunteers,Alabama State Hornets,34,23,57,76,41,117
401168459,2019-11-21,St. John's Red Storm,Columbia Lions,49,27,76,82,63,145
401168203,2019-11-21,Virginia Tech Hokies,Delaware State Hornets,45,27,72,100,64,164
401168200,2019-11-21,Louisville Cardinals,South Carolina Upstate Spartans,34,28,62,76,50,126
401168199,2019-11-21,Georgia Bulldogs,Georgia Tech Yellow Jackets,35,27,62,82,78,160
401166438,2019-11-21,Boston College Eagles,Eastern Washington Eagles,33,31,64,72,68,140
401166082,2019-11-21,Indiana Hoosiers,Princeton Tigers,35,31,66,79,54,133
401166081,2019-11-21,Rutgers Scarlet Knights,Stephen F. Austin Lumberjacks,31,26,57,69,57,126
401176398,2019-11-21,Sam Houston Bearkats,LeTourneau Yellow Jackets,43,41,84,88,58,146
401170372,2019-11-21,Lipscomb Bisons,Belmont Bruins,33,32,65,67,73,140
401170371,2019-11-21,Florida Gulf Coast Eagles,Florida Atlantic Owls,16,29,45,72,70,142
401168202,2019-11-21,Syracuse Orange,Cornell Big Red,26,25,51,72,53,125
401176040,2019-11-21,UAB Blazers,Mount St. Mary's Mountaineers,27,25,52,58,51,109
